ID,MEAN_HYP:1,MEAN_HYP:2,MEAN_HYP:3,MEAN_FCT_HOD:1,MEAN_FCT_HOD:2,MEAN_FCT_HOD:3,MEAN_FCT_AL,MEAN_FCT_OL,MEAN_FCT_SF,MEAN_FCT_OT,MEAN_FCT_CM,NB_SPC,folds_split_C
enabled_col,T,T,T,T,T,T,T,T,T,T,T,F,F
87120,1.000,0.000,0.000,1.000,0.000,0.000,0.333,0.333,0.000,0.000,0.000,3,F:EU
87903,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
87904,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
87905,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
87906,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
87907,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
87908,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
87909,1.000,0.000,0.000,1.000,0.000,0.000,0.167,0.500,0.333,0.000,0.000,6,F:EU
87914,1.000,0.000,0.000,1.000,0.000,0.000,0.333,0.333,0.000,0.000,0.000,3,F:EU
88695,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
88696,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
88697,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
88698,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
88699,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
88700,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
88701,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
88702,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
88703,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
88704,0.833,0.000,0.167,1.000,0.000,0.000,0.167,0.500,0.167,0.167,0.167,6,F:EU
89483,1.000,0.000,0.000,1.000,0.000,0.000,0.167,0.333,0.167,0.000,0.000,6,F:EU
89484,1.000,0.000,0.000,1.000,0.000,0.000,0.167,0.333,0.167,0.000,0.000,6,F:EU
89485,1.000,0.000,0.000,1.000,0.000,0.000,0.143,0.429,0.286,0.000,0.000,7,F:EU
89486,1.000,0.000,0.000,1.000,0.000,0.000,0.143,0.286,0.143,0.000,0.000,7,F:EU
89487,1.000,0.000,0.000,1.000,0.000,0.000,0.143,0.286,0.143,0.000,0.000,7,F:EU
89488,1.000,0.000,0.000,1.000,0.000,0.000,0.143,0.286,0.143,0.000,0.000,7,F:EU
89489,1.000,0.000,0.000,1.000,0.000,0.000,0.143,0.286,0.143,0.000,0.000,7,F:EU
89490,1.000,0.000,0.000,1.000,0.000,0.000,0.143,0.286,0.143,0.000,0.000,7,F:EU
89491,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
89492,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
89493,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
89494,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
89495,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
89496,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
90278,1.000,0.000,0.000,1.000,0.000,0.000,0.143,0.286,0.143,0.000,0.000,7,F:EU
90279,1.000,0.000,0.000,1.000,0.000,0.000,0.143,0.286,0.143,0.000,0.000,7,F:EU
90280,1.000,0.000,0.000,1.000,0.000,0.000,0.143,0.286,0.143,0.000,0.000,7,F:EU
90281,1.000,0.000,0.000,1.000,0.000,0.000,0.143,0.286,0.143,0.000,0.000,7,F:EU
90282,1.000,0.000,0.000,1.000,0.000,0.000,0.167,0.333,0.167,0.000,0.000,6,F:EU
90283,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
90284,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
90285,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
90288,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
90289,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
90290,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
90291,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
91074,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
91075,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
91076,1.000,0.000,0.000,1.000,0.000,0.000,0.167,0.333,0.167,0.000,0.000,6,F:EU
91077,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
91078,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
91079,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
91872,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
91874,1.000,0.000,0.000,1.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,5,F:EU
92666,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
92667,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
92669,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
