MSW_TAXON	TAXON	ORDER	FAMILY	HYP	LOP	FCT_HOD	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM	MASS_KG	H2O_DEP	WILD	TAXON_Kari	ORDER_Kari	FAMILY_Kari	LENGTH_MM	MASS_G	DIET_CLUSTER	FO_CP	FO_EE	FO_CF	FO_ASH	FO_NFE	DIET_CLU	DIET_EIS	flag_false_composition	diet_cat1	diet_eis1	TAXON_OLD1	TAXON_OLD2	last_checked	last_update
Antilocapra americana	Antilocapra americana	Artiodactyla	Antilocapridae	3	2	1	0	1	0	0	0	NA	NA	NA	Antilocapra americana	Artiodactyla	Antilocapridae	1250	45375	H2	11.575	3.06	20.154	16.996	48.215	13.Herbivore-Browser	Herbivore-Mixed-Feeder	0	H	Herbivore	NA	NA	NA	NA
Addax nasomaculatus	Addax nasomaculatus	Artiodactyla	Bovidae	3	2	1	0	1	1	0	0	NA	NA	NA	Addax nasomaculatus	Artiodactyla	Bovidae	1600	111000	H2	11.937	2.576	19.95	21.427	44.11	13.Herbivore-Browser	Herbivore-grazer	0	H	Herbivore	NA	NA	NA	NA
Aepyceros melampus	Aepyceros melampus	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	52.5	H	W	Aepyceros melampus	Artiodactyla	Bovidae	1300	50350	H1	11.298	3.714	26.348	8.743	49.898	13.14.MF	Herbivore-browser	0	H	Herbivore	NA	NA	NA	NA
Alcelaphus buselaphus	Alcelaphus buselaphus	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	171	H	W	Alcelaphus buselaphus	Artiodactyla	Bovidae	1975	136144	H7	8.572	2.596	31.506	10.585	46.742	14.Herbivore-Grazer	Herbivore-grazer	0	H	Herbivore	NA	NA	NA	NA
Alcelaphus caama	Alcelaphus caama	Artiodactyla	Bovidae	3	NA	1	0	1	0	1	0	NA	NA	NA	Alcelaphus caama	Artiodactyla	Bovidae	1815	176115.97	H7	8.572	2.596	31.506	10.585	46.742	14.Herbivore-Grazer	Herbivore-grazer	0	H	Herbivore	NA	NA	NA	NA
Alcelaphus lichtensteinii	Alcelaphus lichtensteinii	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	NA	NA	NA	Alcelaphus lichtensteinii	Artiodactyla	Bovidae	1815	153000	H7	8.236	2.944	31.216	8.465	49.139	14.Herbivore-Grazer	Herbivore-grazer	0	H	Herbivore	Sigmoceros lichtensteinii	NA	NA	NA
Ammodorcas clarkei	Ammodorcas clarkei	Artiodactyla	Bovidae	1	2	1	0	1	0	0	0	NA	NA	NA	Ammodorcas clarkei	Artiodactyla	Bovidae	1170	28000	H4	10.195	3.517	23.027	9.625	53.638	12.Herbivore-Frugivore	Herbivore-browser	0	H	Herbivore	NA	NA	NA	NA
Ammotragus lervia	Ammotragus lervia	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA	NA	Ammotragus lervia	Artiodactyla	Bovidae	1475	81700	H1	10.969	2.733	24.854	16.458	44.986	13.14.MF	Herbivore-browser	0	H	Herbivore	NA	NA	NA	NA
Antidorcas marsupialis	Antidorcas marsupialis	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA	NA	Antidorcas marsupialis	Artiodactyla	Bovidae	1300	31000	H1	9.956	3.487	26.394	9.924	50.24	13.14.MF	Herbivore-browser	0	H	Herbivore	NA	NA	NA	NA
Antilope cervicapra	Antilope cervicapra	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA	NA	Antilope cervicapra	Artiodactyla	Bovidae	1200	37300	H1	10.277	2.8	23.857	7.364	55.703	13.14.MF	Herbivore-grazer	0	H	Herbivore	NA	NA	NA	NA
Beatragus hunteri	Beatragus hunteri	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	80	M	W	Beatragus hunteri	Artiodactyla	Bovidae	NA	88500	H7	8.106	2.605	33.319	8.944	47.026	14.Herbivore-Grazer	Herbivore-grazer	0	H	Herbivore	NA	NA	NA	NA
Bison bison	Bison bison	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	NA	NA	NA	Bison bison	Artiodactyla	Bovidae	2454.5	624050	H7	9.622	2.686	30.291	10.621	46.781	14.Herbivore-Grazer	Herbivore-grazer	0	H	Herbivore	NA	NA	NA	NA
Bison bonasus	Bison bonasus	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	NA	NA	NA	Bison bonasus	Artiodactyla	Bovidae	2800	570500	H1	9.902	3.296	27.744	9.387	49.672	13.14.MF	Herbivore-grazer	0	H	Herbivore	NA	NA	NA	NA
Bos frontalis	Bos frontalis	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	NA	NA	NA	Bos frontalis	Artiodactyla	Bovidae	2750	775150	H7	8.851	2.843	29.02	11.257	48.029	14.Herbivore-Grazer	Herbivore-grazer	0	H	Herbivore	NA	NA	NA	NA
Bos grunniens	Bos grunniens	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	NA	NA	NA	Bos grunniens	Artiodactyla	Bovidae	3250	333000	H1	12.908	6.135	24.46	12.624	43.873	13.14.MF	Herbivore-grazer	0	H	Herbivore	NA	NA	NA	NA
Bos javanicus	Bos javanicus	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	NA	NA	NA	Bos javanicus	Artiodactyla	Bovidae	1900	6e+05	H1	12.772	3.346	23.655	10.905	49.322	13.14.MF	Herbivore-grazer	0	H	Herbivore	NA	NA	NA	NA
Bos sauveli	Bos sauveli	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	NA	NA	NA	Bos sauveli	Artiodactyla	Bovidae	2162.5	8e+05	H7	7.94	3.251	30.044	8.221	50.543	14.Herbivore-Grazer	Herbivore-grazer	0	H	Herbivore	NA	NA	NA	NA
Bos taurus	Bos taurus	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	180	H	D	Bos taurus	Artiodactyla	Bovidae	2900	6e+05	H1	9.199	3.335	27.916	9.641	49.909	13.14.MF	Herbivore-grazer	0	H	Herbivore	NA	NA	NA	NA
Boselaphus tragocamelus	Boselaphus tragocamelus	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA	NA	Boselaphus tragocamelus	Artiodactyla	Bovidae	1950	194800	H1	9.937	2.931	23.779	15.261	48.091	13.14.MF	Herbivore-Mixed-Feeder	0	H	Herbivore	NA	NA	NA	NA
Bubalus bubalis	Bubalus bubalis	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	NA	NA	NA	Bubalus bubalis	Artiodactyla	Bovidae	2700	950000	H1	9.998	2.583	26.323	15.081	46.015	13.14.MF	Herbivore-grazer	0	H	Herbivore	NA	NA	NA	NA
Bubalus depressicornis	Bubalus depressicornis	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	NA	NA	NA	Bubalus depressicornis	Artiodactyla	Bovidae	1660	150000	H1	9.597	3.329	22.976	7.994	56.104	13.14.MF	Herbivore-browser	0	H	Herbivore	NA	NA	NA	NA
Bubalus mindorensis	Bubalus mindorensis	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	NA	NA	NA	Bubalus mindorensis	Artiodactyla	Bovidae	NA	233333.33		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	NA
Bubalus quarlesi	Bubalus quarlesi	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	NA	NA	NA	Bubalus quarlesi	Artiodactyla	Bovidae	1660	225000	H1	9.597	3.329	22.976	7.994	56.104	13.14.MF		0	H	NA	NA	NA	NA	NA
Budorcas taxicolor	Budorcas taxicolor	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA	NA	Budorcas taxicolor	Artiodactyla	Bovidae	1685	250000	H4	11.832	3.393	20.699	14.538	49.537	12.Herbivore-Frugivore	Herbivore-Mixed-Feeder	0	H	Herbivore	NA	NA	NA	NA
Capra caucasica	Capra caucasica	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA	NA	Capra caucasica	Artiodactyla	Bovidae	NA	55000	H1	9.283	2.963	27.873	10.419	49.462	13.14.MF	Herbivore-Mixed-Feeder	0	H	Herbivore	NA	NA	NA	NA
Capra caucasica cylindricornis	Capra cylindricornis	Artiodactyla	Bovidae	3	NA	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Capra falconeri	Capra falconeri	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA	NA	Capra falconeri	Artiodactyla	Bovidae	1600	41000	H1	9.662	2.683	27.011	13.664	46.979	13.14.MF	Herbivore-Mixed-Feeder	0	H	Herbivore	NA	NA	NA	NA
